Key,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
MainMenu.TabHeaderLable.Editor,Editor,编辑器,編輯器,Editor,Editor,Éditeur,Szerkesztő,エディター,편집자,Редактор
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",您确定要删除角色“{0}”吗？此操作不可撤销。,您確定要刪除角色“{0}”嗎？此操作不可撤銷。,"Bist du sicher, dass du den Charakter „{0}“ löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","¿Confirmas que quieres eliminar el personaje ""{0}""? Esta acción no se puede deshacer.","Êtes-vous sûr de vouloir supprimer le caractère ""{0}"" ? Cette action ne peut pas être annulée.","Biztosan törölni szeretné a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.",キャラクター「{0}」を削除しますか？この操作は元に戻せません。,"""{0}"" 문자를 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.","Вы уверены, что хотите удалить символ ""{0}""? Это действие невозможно отменить."
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",角色“{0}”已存在。您确定要覆盖角色“{0}”吗？此操作不可撤销。,角色“{0}”已存在。您確定要覆蓋角色“{0}”嗎？此操作不可撤銷。,"Der Charakter „{0}“ ist bereits vorhanden. Bist du sicher, dass du den Charakter „{0}“ überschreiben möchtest? Diese Aktion kann nicht rückgängig gemacht werden.","El personaje ""{0}"" ya existe. ¿Quieres sobreescribir el personaje ""{0}""? Esta acción no se puede deshacer.","Le caractère ""{0}"" existe déjà. Êtes-vous sûr de vouloir remplacer le caractère « {0} » ? Cette action ne peut pas être annulée.","A(z) ""{0}"" karakter már létezik. Biztosan felül szeretné írni a(z) ""{0}"" karaktert? Ez a művelet nem vonható vissza.",キャラクター「{0}」はすでに存在します。上書きしますか？この操作は元に戻せません。,"문자 ""{0}""이(가) 이미 존재합니다. ""{0}"" 문자를 덮어쓰시겠습니까? 이 작업은 취소할 수 없습니다.","Персонаж ""{0}"" уже существует. Вы уверены, что хотите перезаписать символ ""{0}""? Это действие невозможно отменить."
MainMenu.Confirm,Confirm,确认,確認,Bestätigen,Confirmar,Confirmer,Erősítse meg,確認,확인하다,Подтверждать
MainMenu.Cancel,Cancel,取消,取消,Abbrechen,Cancelar,Annuler,Mégse,キャンセル,취소,Отмена
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,请输入角色名：,請輸入角色名：,Bitte gib einen Charakternamen ein:,Por favor ingresa el nombre del personaje:,Veuillez saisir un nom de personnage :,"Kérjük, írjon be egy karakternevet:",キャラクター名を入力してください,캐릭터 이름을 입력해주세요:,"Пожалуйста, введите имя персонажа:"
MainMenu.Editor.Model,Models,模型,模型,Modelle,Modelos,Modèles,Modellek,モデル,모델,Модели
MainMenu.Editor.Character,Character,角色,角色,Charakter,Personaje,Personnage,Karakter,キャラクター,성격,Характер
MainMenu.Editor.Animation,Animation,动画,動畫,Animation,Animación,Animation,Animáció,アニメーション,생기,Анимация
MainMenu.Editor.PartsSelection,Choose Parts,部件选择,部件選擇,Teile auswählen,Elije las partes,Choisir des pièces,Válassza az Alkatrészek lehetőséget,パーツ選択,부품 선택,Выберите детали
MainMenu.Editor.PartsAdjustment,Adjustment,部件调整,部件調整,Einstellung,Ajustes,Ajustement,Beállítás,調整,조정,Корректирование
MainMenu.Search,Search...,搜索……,搜尋……,Suchen...,Buscar...,Recherche...,Keresés...,検索…,찾다...,Поиск...
MainMenu.Editor.SaveCharacter,Save Character,保存角色,儲存角色,Charakter speichern,Guardar personaje,Enregistrer le personnage,Karakter mentése,キャラクターを保存,캐릭터 저장,Сохранить персонажа
MainMenu.Editor.Unload,Clear Character,重置角色,重置角色,Charakter zurücksetzen,Limpiar personaje,Caractère clair,Tiszta karakter,キャラクターを初期化,문자 지우기,Ясный характер
MainMenu.Editor.DeleteCharacter,Delete Character,删除角色,刪除角色,Charakter löschen,Eliminar personaje,Supprimer un personnage,Karakter törlése,キャラクターを削除,캐릭터 삭제,Удалить персонажа
MainMenu.Editor.UseCustomTextures,Use Custom Textures,使用自定义贴图,使用自定義貼圖,Benutzerdefinierte Texturen verwenden,Utilizar texturas personalizadas,Utiliser des textures personnalisées,Egyéni textúrák használata,カスタムテクスチャを使用,사용자 정의 텍스처 사용,Используйте пользовательские текстуры
MainMenu.Editor.ReloadTextures,Reload Textures,重新加载贴图,重新載入貼圖,Texturen neu laden,Recargar texturas,Recharger les textures,Textúrák újratöltése,テクスチャを再読み込み,텍스처 다시 로드,Перезагрузить текстуры
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,打开自定义贴图文件夹,開啟自定義貼圖資料夾,Ordner für benutzerdefinierte Texturen öffnen,Abrir carpeta de texturas personalizada,Ouvrir le dossier de textures personnalisées,Nyissa meg az Egyéni textúra mappát,カスタムテクスチャフォルダを開く,사용자 정의 텍스처 폴더 열기,Открыть папку с пользовательскими текстурами
MainMenu.Editor.Color,Color,颜色,顏色,Farbe,Color,Couleur,Szín,色,색상,Цвет
MainMenu.Editor.TintColor,TintColor,浅色,淺色,Tönungsfarbe,TintedeColor,TeinteCouleur,TintColor,色合い,색조색상,ОттенокЦвет
MainMenu.Editor.TintBlackColor,TintBlackColor,深色,深色,Dunkle Tönungsfarbe,TinteColorNegro,TeinteNoirCouleur,TintBlackColor,黒の色合い,색조검정색,ОттенокЧерныйЦвет
MainMenu.Editor.LICENSE,LICENSE,使用条款,使用條款,LIZENZ,LICENCIA,LICENCE,ENGEDÉLY,ライセンス,특허,ЛИЦЕНЗИЯ
MainMenu.Editor.AssetTypeAA,Default Assets,内置模型,內建模型,Standard-Assets,Texturas Predeterminadas,Actifs par défaut,Alapértelmezett eszközök,標準アセット,기본 자산,Активы по умолчанию
MainMenu.Editor.AssetTypeSA,Third-Party Assets,第三方模型,第三方模型,Drittanbieter-Assets,Texturas de Terceros,Actifs de tiers,Harmadik féltől származó eszközök,外部アセット,제3자 자산,Сторонние активы
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,角色名不得为空。,角色名不得爲空。,Der Name darf nicht leer sein.,El nombre no puede estar vacío.,Le nom ne peut pas être vide.,A név nem lehet üres.,名前は空にできません,이름은 비워둘 수 없습니다.,Имя не может быть пустым.
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,角色名不得超过{0}个字符。,角色名不得超過{0}個字元。,Der Name darf nicht länger als {0} Zeichen sein.,El nombre no puede exceder los {0} caracteres.,Le nom ne peut pas dépasser {0} caractères.,A név nem haladhatja meg a {0} karaktert.,名前は{0}文字以内で入力してください,이름은 {0}자를 초과할 수 없습니다.,Имя не может превышать {0} символов.
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",角色名不得包含特殊字符“{0}”。,角色名不得包含特殊字元“{0}”。,Der Name darf das Zeichen „{0}“ nicht enthalten.,"El nombre no puede contener el carácter ""{0}"".","Le nom ne peut pas contenir le caractère ""{0}"".","A név nem tartalmazhatja a ""{0}"" karaktert.",名前に「{0}」は使用できません,"이름에는 ""{0}"" 문자가 포함될 수 없습니다.",Имя не может содержать символ «{0}».
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",“{0}”是系统保留关键词，不能作为角色名。,“{0}”是系統保留關鍵詞，不能作爲角色名。,„{0}“ ist ein reservierter Name und kann nicht verwendet werden.,"""{0}"" es un nombre reservado y no se puede utilizar.","""{0}"" est un nom réservé et ne peut pas être utilisé.","""{0}"" egy lefoglalt név, és nem használható.",「{0}」は予約済みキーワードのため使用できません,"""{0}""은(는) 예약된 이름이므로 사용할 수 없습니다.","«{0}» — зарезервированное имя, и его нельзя использовать."
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,角色名不能以点结尾。,角色名不能以點結尾。,Der Name darf nicht mit einem Punkt enden.,El nombre no puede terminar con un punto.,Le nom ne peut pas se terminer par un point.,A név nem végződhet ponttal.,名前をドットで終えることはできません,이름은 점으로 끝날 수 없습니다.,Имя не может заканчиваться точкой.
