GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
Brows,Brows,Brows,眉毛,眉毛,Augenbrauen,Cejas,Sourcils,Szemöldök,眉,눈썹,Брови
Ear,Ear,Ear,耳朵,耳朵,Ohr,Oreja,Oreille,Fül,耳,귀,Ухо
Eye,Eye,Eye,眼睛,眼睛,Auge,Ojo,Œil,Szem,目,눈,Глаз
BaseHair,Base Hair,Base Hair,基础头发,基礎頭髮,Basishaare,Cabello Base,Cheveux de base,Alaphaj,髪ベース,베이스 헤어,Базовые волосы
HairBangLeft,Hair Bang >>,Hair Bang >>,头发 刘海 >>,頭髮 劉海 >>,Pony >>,Flequillo de pelo >>,Frange de cheveux >>,Hair Bang >>,前髪 >>,헤어뱅 >>,Челка >>
HairBangMiddle,Hair Bang ><,Hair Bang ><,头发 刘海 ><,頭髮 劉海 ><,Pony ><,Flequillo de pelo ><,Frange de cheveux ><,Hair Bang ><,前髪 中央,헤어뱅 ><,Челка для волос ><
HairBangRight,Hair Bang <<,Hair Bang <<,头发 刘海 <<,頭髮 劉海 <<,Pony <<,Flequillo de pelo <<,Frange de cheveux <<,Hair Bang <<,前髪 <<,헤어뱅 <<,Челка для волос <<
HairShine,Hair Shine,Hair Shine,头发 高光,頭髮 高光,Haarglanz,Brillo del cabello,Brillance des cheveux,Hajfény,髪ツヤ,헤어 샤인,Блеск Волос
FrameHairBranchL,Hair Branch >>,Hair Branch >>,头发 分叉 >>,頭髮 分叉 >>,Haarzweig >>,Rama de pelo >>,Branche de cheveux >>,Hajág >>,髪ハネ >>,헤어 브랜치 >>,Ветка волос >>
FrameHairBranchR,Hair Branch <<,Hair Branch <<,头发 分叉 <<,頭髮 分叉 <<,Haarzweig <<,Rama de cabello <<,Branche de cheveux <<,Hajág <<,髪ハネ <<,헤어 브랜치 <<,Ветка волос <<
FrameHairL,Hair Framing >>,Hair Framing >>,头发 脸颊 >>,頭髮 臉頰 >>,Seitensträhnen >>,Enmarcado del cabello >>,Encadrement des cheveux >>,Hajkeretezés >>,顔まわり髪 >>,헤어 프레이밍 >>,Оформление волос >>
FrameHairR,Hair Framing <<,Hair Framing <<,头发 脸颊 <<,頭髮 臉頰 <<,Seitensträhnen <<,Enmarcado del cabello <<,Encadrement des cheveux <<,Hajkeretezés <<,顔まわり髪 <<,헤어 프레이밍 <<,Оформление волос <<
FrameHair,Hair Framing,Hair Framing,头发 脸颊两侧,頭髮 臉頰兩側,Seitensträhnen,Encuadre del cabello,Encadrement des cheveux,Hajkeretezés,顔まわり髪,헤어 프레이밍,Обрамление волос
HairHighlightLeft1,Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >>,挑染 1 >>,Haar-Highlight 1 >>,Destacado del cabello 1 >>,Mèches de cheveux 1 >>,Hajkiemelés 1 >>,髪ハイライト1 >>,헤어 하이라이트 1 >>,Мелирование волос 1 >>
HairHighlightLeft2,Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >>,挑染 2 >>,Haar-Highlight 2 >>,Destacado del cabello 2 >>,Mèches de cheveux 2 >>,Hajkiemelés 2 >>,髪ハイライト2 >>,헤어 하이라이트 2 >>,Мелирование волос 2 >>
HairHighlightLeft3,Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >>,挑染 3 >>,Haar-Highlight 3 >>,Destacado del cabello 3 >>,Mèches de cheveux 3 >>,Hajkiemelés 3 >>,髪ハイライト3 >>,헤어 하이라이트 3 >>,Мелирование волос 3 >>
HairHighlightMiddle1,Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 ><,挑染 1 ><,Haar-Highlight 1 ><,Destacado del cabello 1 ><,Mèches de cheveux 1 ><,Hajkiemelés 1 ><,髪ハイライト1 中央,헤어하이라이트 1 ><,Мелирование волос 1 ><
HairHighlightMiddle2,Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 ><,挑染 2 ><,Haar-Highlight 2 ><,Destacado del cabello 2 ><,Mèches de cheveux 2 ><,Hajkiemelés 2 ><,髪ハイライト2 中央,헤어하이라이트 2 ><,Мелирование волос 2 ><
HairHighlightMiddle3,Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 ><,挑染 3 ><,Haar-Highlight 3 ><,Destacado del cabello 3 ><,Mèches de cheveux 3 ><,Hajkiemelés 3 ><,髪ハイライト3 中央,헤어하이라이트 3 ><,Мелирование волос 3 ><
HairHighlightMiddle4,Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 ><,挑染 4 ><,Haar-Highlight 4 ><,Resaltado del cabello 4 ><,Mèches de cheveux 4 ><,Hajkiemelés 4 ><,髪ハイライト4 中央,헤어하이라이트 4 ><,Мелирование волос 4 ><
HairHighlightMiddle5,Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 ><,挑染 5 ><,Haar-Highlight 5 ><,Destacado del cabello 5 ><,Mèches de cheveux 5 ><,Hajkiemelés 5 ><,髪ハイライト5 中央,헤어하이라이트 5 ><,Мелирование волос 5 ><
HairHighlightMiddle6,Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 ><,挑染 6 ><,Haar-Highlight 6 ><,Destacado del cabello 6 ><,Mèches de cheveux 6 ><,Hajkiemelés 6 ><,髪ハイライト6 中央,헤어하이라이트 6 ><,Мелирование волос 6 ><
HairHighlightRight1,Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 <<,挑染 1 <<,Haar-Highlight 1 <<,Destacado del cabello 1 <<,Mèches de cheveux 1 <<,Hajkiemelés 1 <<,髪ハイライト1 <<,헤어 하이라이트 1 <<,Мелирование волос 1 <<
HairHighlightRight2,Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 <<,挑染 2 <<,Haar-Highlight 2 <<,Destacado del cabello 2 <<,Mèches de cheveux 2 <<,Hajkiemelés 2 <<,髪ハイライト2 <<,헤어 하이라이트 2 <<,Мелирование волос 2 <<
HairHighlightRight3,Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 <<,挑染 3 <<,Haar-Highlight 3 <<,Destacado del cabello 3 <<,Mèches de cheveux 3 <<,Hajkiemelés 3 <<,髪ハイライト3 <<,헤어 하이라이트 3 <<,Мелирование волос 3 <<
SideHair,Hair Side,Hair Side,头发 侧面,頭髮 側面,Haare Seite,Lado del cabello,Côté cheveux,Hajoldal,横髪,헤어사이드,Сторона волос
Ahoge,Hair Ahoge,Hair Ahoge,头发 呆毛,頭髮 呆毛,Haare Ahoge,pelo ahogado,Cheveux Ahoge,Haj Ahoge,アホ毛,헤어 아호게,Волосы Ахоге
BackHair,Hair Rear,Hair Rear,头发 后侧,頭髮 後側,Haare hinten,pelo trasero,Cheveux arrière,Haj Hátsó,後ろ髪,헤어 리어,Волосы сзади
PigtailLeft,Hair Pigtail >>,Hair Pigtail >>,头发 马尾 >>,頭髮 馬尾 >>,Haarzopf >>,Coleta de pelo >>,Queue de cochon >>,Haj Pigtail >>,おさげ >>,헤어 피그테일 >>,Косичка для волос >>
PigtailRight,Hair Pigtail <<,Hair Pigtail <<,头发 马尾 <<,頭髮 馬尾 <<,Haarzopf <<,Coleta de pelo <<,Queue de cochon <<,Haj Pigtail <<,おさげ <<,머리 땋은 머리 <<,Косичка для волос <<
AnimalEar,Animal Ear,Animal Ear,兽耳,獸耳,Tierohr,oreja de animal,Oreille d'animal,Állati fül,ケモ耳,동물의 귀,Ухо животного
Antenna,Antenna,Antenna,触角,觸角,Antenne,Antena,Antenne,Antenna,アンテナ,안테나,Антенна
Fin,Fin,Fin,鳍,鰭,Flosse,Aleta,Ailette,Uszony,ヒレ,지느러미,Плавник
Gill,Gill,Gill,腮,腮,Kieme,Branquia,Gil,Kopoltyú,エラ,아가미,Джилл
Glasses,Glasses,Glasses,眼镜,眼鏡,Brille,Anteojos,Lunettes,Szemüveg,メガネ,안경,Очки
HairbandA,Hairband A,Hairband A,发带 A,髮帶 A,Haarband A,Diadema A,Bandeau A,Hajpánt A,ヘアバンドA,헤어밴드A,Лента для волос А
HairbandB,Hairband B,Hairband B,发带 B,髮帶 B,Haarband B,Diadema B,Bandeau B,Hajpánt B,ヘアバンドB,헤어밴드B,Лента для волос Б
HairbandC,Hairband C,Hairband C,发带 C,髮帶 C,Haarband C,Diadema C,Bandeau C,Hajpánt C,ヘアバンドC,헤어밴드 C,Повязка для волос С
HairbandD,Hairband D,Hairband D,发带 D,髮帶 D,Haarband D,Diadema D,Bandeau D,Hajpánt D,ヘアバンドD,헤어밴드 D,Ободок для волос D
HairClipLeft,Hair Clip >>,Hair Clip >>,发夹 >>,髮夾 >>,Haarspange >>,Pinza para el pelo >>,Pince à cheveux >>,Hajcsipesz >>,ヘアクリップ >>,헤어클립 >>,Заколка для волос >>
HairClipRight,Hair Clip <<,Hair Clip <<,发夹 <<,髮夾 <<,Haarspange <<,Pinza para el pelo <<,Pince à cheveux <<,Hajcsat <<,ヘアクリップ <<,헤어클립 <<,Заколка для волос <<
Halo,Halo,Halo,光环,光環,Heiligenschein,Halo,Halo,Halo,天使の輪,후광,Гало
Hat,Hat,Hat,帽子,帽子,Hut,Sombrero,Chapeau,Kalap,帽子,모자,Шляпа
HeadWing,Ear Wing,Ear Wing,翅膀耳朵,翅膀耳朵,Ohrflügel,Ala de oreja,Aile d'oreille,Fülszárny,耳羽,귀 날개,Ухо Крыло
Horn,Horn,Horn,角,角,Horn,Bocina,Corne,Kürt,角,뿔,Рог
HornFrontMiddle,Horn Front ><,Horn Front ><,角 前 ><,角 前 ><,Horn vorne ><,Frente de bocina ><,Corne avant ><,Kürt Elöl ><,角 前中央,혼 프론트 ><,Рог спереди ><
