AnimationName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
ANIM/Alert-Bits,Alert Bits,Alert Bits,通知/提示 Bits,通知/提示 Bits,Alert Bits,Alerta de Bits,Bits d'alerte,Figyelmeztető bitek,ビッツアラート,경고 비트,Биты оповещений
ANIM/Alert-Donation,Alert Donation,Alert Donation,通知/提示 硬币,通知/提示 硬幣,Alert Spende,Alerta de donación,Alerte Don,Figyelmeztető adományozás,寄付アラート,알림 기부,Оповещение о пожертвовании
ANIM/Alert-Heart,Alert Heart,Alert Heart,通知/提示 爱心/喜欢,通知/提示 愛心/喜歡,Alert Herz,Alerta de corazón,Coeur d'alerte,Figyelmes szív,ハートアラート,경고 심장,Бдительное сердце
ANIM/Alert-Like,Alert Like,Alert Like,通知/提示 点赞,通知/提示 點贊,Alert Like,Alerta de Like,Alerte J'aime,Alert Like,いいねアラート,좋아요 알림,Оповещение лайком
ANIM/Alert-Star,Alert Star,Alert Star,通知/提示 星星/收藏,通知/提示 星星/收藏,Alert Stern,Alerta de estrella,Étoile d'alerte,Figyelmeztető csillag,星アラート,경고 스타,Тревога Звезда
ANIM/Angry,Angry,Angry,生气,生氣,Wütend,Enojado,En colère,Dühös,怒り顔,화난,Злой
ANIM/Arrive,Arrive,Arrive,到达,到達,Ankommen,Llegando,Arriver,Megérkezik,登場,도착하다,Приезжать
ANIM/Arrive-Chopstick,Arrive (with Chopstick),Arrive (with Chopstick),到达(拿筷子),到達(拿筷子),Ankommen (Essstäbchen),Llegando(con palillos),Arriver (avec une baguette),Érkezés (pálcikával),登場（箸）,도착(젓가락 사용),Прибытие (с палочками для еды)
ANIM/Arrive-Spoon,Arrive (with Spoon),Arrive (with Spoon),到达(拿勺子),到達(拿勺子),Ankommen (Löffel),Llegando(con cuchara),Arriver (avec une cuillère),Érkezés (kanállal),登場（スプーン）,도착 (스푼 포함),Прибытие (с ложкой)
ANIM/Bonk,Bonk,Bonk,敲头,敲頭,Bonk,Bonk,Bonk,Bonk,ボンク,봉크,Бонк
ANIM/Copium,Copium,Copium,自我安慰,自我安慰,Copium,Copium,Copie,Copium,コピウム（現実逃避）,코피움,Копиум
ANIM/Crowbar-1,Crowbar 1,Crowbar 1,撬棍 1,撬棍 1,Brecheisen 1,Palanca 1,Pied de biche 1,Vargavas 1,バール1,크로우바 1,Лом 1
ANIM/Crowbar-2,Crowbar 2,Crowbar 2,撬棍 2,撬棍 2,Brecheisen 2,Palanca 2,Pied de biche 2,Vargavas 2,バール2,크로우바 2,Лом 2
ANIM/Crowbar-3,Crowbar 3,Crowbar 3,撬棍 3,撬棍 3,Brecheisen 3,Palanca 3,Pied de biche 3,Vargavas 3,バール3,크로우바 3,Лом 3
ANIM/Cry-1,Cry 1,Cry 1,哭 1,哭 1,Weinen 1,Llorar 1,Pleurer 1,Sírás 1,泣き顔1,울다 1,Плачь 1
ANIM/Cry-2,Cry 2,Cry 2,哭 2,哭 2,Weinen 2,llorar 2,Pleurer 2,Sírás 2,泣き顔2,울다 2,Плачь 2
ANIM/Cry-3,Cry 3,Cry 3,哭 3,哭 3,Weinen 3,Llorar 3,Pleurer 3,Sírás 3,泣き顔3,울다 3,Плачь 3
ANIM/Dead,Dead,Dead,死亡,死亡,Tot,Muerto,Mort,Halott,ダウン,죽은,Мертвый
ANIM/Dizzy,Dizzy,Dizzy,头晕,頭暈,Schwindlig,Mareado,Vertigineux,Szédül,目まわし,어지러운,Испытывающий головокружение
ANIM/Drink-BeverageCup,Drink (Beverage Cup),Drink (Beverage Cup),喝(饮料杯),喝(飲料杯),Getränk (Becher),Bebiendo (Vaso de bebida),Boisson (tasse de boisson),Ital (italos csésze),ドリンク（カップ）,음료(음료컵),Напиток (Чашка для напитков)
ANIM/Drive,Drive,Drive,驾驶,駕駛,Fahren,Conduciendo,Conduire,Hajtás,ドライブ,운전하다,Водить машину
ANIM/Drooling-Chopstick,Drooling (Chopstick),Drooling (Chopstick),馋(筷子),饞(筷子),Sabbern (Essstäbchen),Babeando (palillo),Baver (baguette),Nyálcsorgatás (evőpálcika),よだれ（箸）,침흘림(젓가락),Слюни (Палочки для еды)
ANIM/Drooling-ForkKnife,Drooling (Fork&Knife),Drooling (Fork&Knife),馋(刀叉),饞(刀叉),Sabbern (Gabel&Messer),Babeando (tenedor y cuchillo),Bave (Fourchette et Couteau),Nyálcsorgatás (villa és kés),よだれ（フォーク＆ナイフ）,침흘림(포크&나이프),Слюни (вилка и нож)
ANIM/Dum-1,Dum 1,Dum 1,呆 1,呆 1,Dum 1,Tonto 1,Doum 1,Dum 1,ほげ1,덤 1,Дум 1
ANIM/Dum-2,Dum 2,Dum 2,呆 2,呆 2,Dum 2,Tonto 2,Doum 2,Dum 2,ほげ2,덤 2,Дум 2
ANIM/Dum-3,Dum 3,Dum 3,呆 3,呆 3,Dum 3,Tonto 3,Doum 3,Dum 3,ほげ3,덤 3,Дум 3
ANIM/Dum-Sticker-1,Dum Sticker 1,Dum Sticker 1,呆(贴纸) 1,呆(貼紙) 1,Dum-Aufkleber 1,"Post-it ""Dumb"" 1",Autocollant Dum 1,Dum matrica 1,ほげステッカー1,덤 스티커 1,Дум стикер 1
